,position,song,artist,popularity,duration_ms,album_type,release_date
0,1,Supernova,Saiko,84,190909,single,2023-04-19
1,2,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
2,3,Acróstico,Shakira,81,170785,single,2023-05-11
3,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
4,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
5,6,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
6,7,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
7,8,Clavaito,Chanel & Abraham Mateo,78,162740,single,2023-04-27
8,9,TQG,KAROL G,96,197933,album,2023-02-24
9,10,Yandel 150,Yandel,90,216148,album,2023-01-13
10,11,Nochentera,Vicco,81,202184,single,2022-12-19
11,12,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
12,13,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
13,14,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
14,15,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
15,16,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
16,17,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
17,18,WANDA,Quevedo,87,160909,album,2023-01-20
18,19,Cupido,TINI,84,174369,album,2023-02-16
19,20,Los Ángeles,Aitana,84,158483,single,2023-03-29
20,21,Tattoo,Loreen,89,183374,single,2023-02-25
21,22,Si La Calle Llama - Remix,Eladio Carrion,87,240000,album,2023-03-17
22,23,Ella Baila Sola,Eslabon Armado,89,165671,album,2023-04-28
23,24,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
24,25,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
25,26,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
26,27,PUNTO G,Quevedo,86,151324,album,2023-01-20
27,28,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,2023-03-23
28,29,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
29,30,Hey Mor,Ozuna,91,196600,album,2022-10-07
30,31,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
31,32,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
32,33,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,2023-01-11
33,34,un x100to,Grupo Frontera & Bad Bunny,99,194563,single,2023-04-17
34,35,Polaris,Saiko,78,192122,single,2022-08-26
35,36,La Fiesta,Pedro Capó,71,201044,album,2022-12-02
36,37,Cha Cha Cha,Käärijä,86,175161,single,2023-01-17
37,38,Arranca (feat. Omega),Becky G & Omega,82,166529,single,2023-03-10
38,39,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,76,215600,single,2023-05-12
39,40,Andando,Morad,67,261713,album,2023-05-12
40,41,RÁPIDO,Mora,81,182857,single,2023-04-27
41,42,La Jumpa,Arcángel,87,255693,album,2022-12-01
42,43,MEMORIAS,Mora,82,228750,album,2022-04-01
43,44,Paz,Morad,63,186000,album,2023-05-12
44,45,T'as peur,Aya Nakamura,70,215284,album,2023-01-27
45,46,MI DROGA,Myke Towers,81,163240,album,2023-03-23
46,47,No Estuviste En Lo Malo,Morad,67,247680,album,2023-05-12
47,48,Flowers,Miley Cyrus,91,200600,album,2023-03-10
49,50,REMIX EXCLUSIVO,Feid,88,206946,single,2023-03-17
50,1,Acróstico,Shakira,83,170785,single,2023-05-11
51,2,Supernova,Saiko,84,190909,single,2023-04-19
52,3,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
53,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
54,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
55,6,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
56,7,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
57,8,Clavaito,Chanel & Abraham Mateo,78,162740,single,2023-04-27
58,9,TQG,KAROL G,96,197933,album,2023-02-24
59,10,Yandel 150,Yandel,90,216148,album,2023-01-13
60,11,Nochentera,Vicco,81,202184,single,2022-12-19
61,12,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
62,13,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
63,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
64,15,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
65,16,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
66,17,Cupido,TINI,84,174369,album,2023-02-16
67,18,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
68,19,WANDA,Quevedo,87,160909,album,2023-01-20
69,20,Si La Calle Llama - Remix,Eladio Carrion,87,240000,album,2023-03-17
70,21,Los Ángeles,Aitana,84,158483,single,2023-03-29
71,22,Ella Baila Sola,Eslabon Armado,89,165671,album,2023-04-28
72,23,Tattoo,Loreen,90,183374,single,2023-02-25
73,24,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
74,25,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
75,26,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,2023-03-23
76,27,PUNTO G,Quevedo,86,151324,album,2023-01-20
77,28,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,77,215600,single,2023-05-12
78,29,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
79,30,Hey Mor,Ozuna,91,196600,album,2022-10-07
80,31,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
81,32,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,2023-01-11
82,33,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
83,34,Andando,Morad,69,261713,album,2023-05-12
84,35,La Fiesta,Pedro Capó,73,201044,album,2022-12-02
85,36,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
86,37,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
87,38,Polaris,Saiko,78,192122,single,2022-08-26
88,39,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
89,40,La Jumpa,Arcángel,87,255693,album,2022-12-01
90,41,MEMORIAS,Mora,82,228750,album,2022-04-01
91,42,RÁPIDO,Mora,81,182857,single,2023-04-27
92,43,Cha Cha Cha,Käärijä,87,175161,single,2023-01-17
93,44,Flowers,Miley Cyrus,91,200600,album,2023-03-10
94,45,T'as peur,Aya Nakamura,70,215284,album,2023-01-27
96,47,Paz,Morad,65,186000,album,2023-05-12
97,48,REMIX EXCLUSIVO,Feid,88,206946,single,2023-03-17
98,49,No Estuviste En Lo Malo,Morad,68,247680,album,2023-05-12
99,50,MI DROGA,Myke Towers,80,163240,album,2023-03-23
100,1,Acróstico,Shakira,85,170785,single,2023-05-11
101,2,Supernova,Saiko,84,190909,single,2023-04-19
102,3,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
103,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
104,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
105,6,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
106,7,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
107,8,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
108,9,TQG,KAROL G,96,197933,album,2023-02-24
109,10,Yandel 150,Yandel,90,216148,album,2023-01-13
110,11,Nochentera,Vicco,81,202184,single,2022-12-19
111,12,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
112,13,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
113,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
114,15,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
115,16,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
116,17,Cupido,TINI,84,174369,album,2023-02-16
117,18,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
118,19,WANDA,Quevedo,87,160909,album,2023-01-20
119,20,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,2023-03-17
120,21,Los Ángeles,Aitana,84,158483,single,2023-03-29
121,22,Ella Baila Sola,Eslabon Armado,90,165671,album,2023-04-28
122,23,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
123,24,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
124,25,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,78,215600,single,2023-05-12
125,26,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,2023-03-23
126,27,PUNTO G,Quevedo,86,151324,album,2023-01-20
127,28,Tattoo,Loreen,90,183374,single,2023-02-25
128,29,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
129,30,La Fiesta,Pedro Capó,73,201044,album,2022-12-02
130,31,Hey Mor,Ozuna,91,196600,album,2022-10-07
131,32,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
132,33,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
133,34,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
134,35,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,2023-01-11
135,36,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
136,37,Andando,Morad,70,261713,album,2023-05-12
137,38,Polaris,Saiko,78,192122,single,2022-08-26
138,39,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
139,40,La Jumpa,Arcángel,87,255693,album,2022-12-01
140,41,MEMORIAS,Mora,82,228750,album,2022-04-01
141,42,RÁPIDO,Mora,82,182857,single,2023-04-27
142,43,REMIX EXCLUSIVO,Feid,88,206946,single,2023-03-17
144,45,T'as peur,Aya Nakamura,70,215284,album,2023-01-27
145,46,Flowers,Miley Cyrus,91,200600,album,2023-03-10
146,47,Paz,Morad,66,186000,album,2023-05-12
147,48,Cha Cha Cha,Käärijä,88,175161,single,2023-01-17
148,49,No Estuviste En Lo Malo,Morad,69,247680,album,2023-05-12
149,50,MI DROGA,Myke Towers,80,163240,album,2023-03-23
150,1,WHERE SHE GOES,Bad Bunny,82,231704,single,2023-05-18
151,2,Acróstico,Shakira,86,170785,single,2023-05-11
152,3,Supernova,Saiko,84,190909,single,2023-04-19
153,4,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
154,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
155,6,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
156,7,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
157,8,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
158,9,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
159,10,Yandel 150,Yandel,90,216148,album,2023-01-13
160,11,Nochentera,Vicco,81,202184,single,2022-12-19
161,12,TQG,KAROL G,96,197933,album,2023-02-24
162,13,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
163,14,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
164,15,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,79,215600,single,2023-05-12
165,16,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
166,17,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
167,18,Arena y Sal,Omar Montes & Saiko & Tunvao,59,174415,single,2023-05-18
168,19,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
169,20,Cupido,TINI,84,174369,album,2023-02-16
170,21,WANDA,Quevedo,87,160909,album,2023-01-20
171,22,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
172,23,Ella Baila Sola,Eslabon Armado,90,165671,album,2023-04-28
173,24,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,2023-03-17
174,25,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
175,26,Los Ángeles,Aitana,83,158483,single,2023-03-29
176,27,PUNTO G,Quevedo,86,151324,album,2023-01-20
177,28,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
178,29,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,2023-03-23
179,30,Hey Mor,Ozuna,91,196600,album,2022-10-07
180,31,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
181,32,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
182,33,La Fiesta,Pedro Capó,74,201044,album,2022-12-02
183,34,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,2023-01-11
184,35,Tattoo,Loreen,91,183374,single,2023-02-25
185,36,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
186,37,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
187,38,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
188,39,69,Nicky Jam & Feid,67,221935,single,2023-05-19
189,40,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
190,41,Polaris,Saiko,78,192122,single,2022-08-26
191,42,La Jumpa,Arcángel,87,255693,album,2022-12-01
192,43,Andando,Morad,71,261713,album,2023-05-12
193,44,MEMORIAS,Mora,82,228750,album,2022-04-01
194,45,REMIX EXCLUSIVO,Feid,88,206946,single,2023-03-17
195,46,RÁPIDO,Mora,82,182857,single,2023-04-27
197,48,Flowers,Miley Cyrus,91,200600,album,2023-03-10
198,49,T'as peur,Aya Nakamura,70,215284,album,2023-01-27
199,50,VISTA AL MAR,Quevedo,83,180672,album,2023-01-20
200,1,WHERE SHE GOES,Bad Bunny,86,231704,single,2023-05-18
201,2,Acróstico,Shakira,87,170785,single,2023-05-11
202,3,Supernova,Saiko,84,190909,single,2023-04-19
203,4,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
204,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
205,6,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
206,7,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
207,8,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
208,9,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
209,10,Nochentera,Vicco,81,202184,single,2022-12-19
210,11,Yandel 150,Yandel,90,216148,album,2023-01-13
211,12,TQG,KAROL G,96,197933,album,2023-02-24
212,13,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,80,215600,single,2023-05-12
213,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
214,15,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
215,16,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
216,17,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
217,18,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
218,19,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
219,20,WANDA,Quevedo,87,160909,album,2023-01-20
220,21,Cupido,TINI,84,174369,album,2023-02-16
221,22,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
222,23,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,2023-03-17
223,24,Arena y Sal,Omar Montes & Saiko & Tunvao,63,174415,single,2023-05-18
224,25,Ella Baila Sola,Eslabon Armado,90,165671,album,2023-04-28
225,26,PUNTO G,Quevedo,86,151324,album,2023-01-20
226,27,Los Ángeles,Aitana,83,158483,single,2023-03-29
227,28,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
228,29,Mi Nena Remix,Maikel Delacalle & Quevedo,81,220000,single,2023-03-23
229,30,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
230,31,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,94,214945,single,2023-01-11
231,32,Hey Mor,Ozuna,91,196600,album,2022-10-07
232,33,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
233,34,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
234,35,Tattoo,Loreen,91,183374,single,2023-02-25
235,36,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
236,37,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
237,38,La Jumpa,Arcángel,87,255693,album,2022-12-01
238,39,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
239,40,Polaris,Saiko,78,192122,single,2022-08-26
240,41,MEMORIAS,Mora,82,228750,album,2022-04-01
241,42,Andando,Morad,71,261713,album,2023-05-12
242,43,DESPECHÁ,ROSALÍA,84,156787,album,2022-09-09
243,44,69,Nicky Jam & Feid,72,221935,single,2023-05-19
244,45,La Fiesta,Pedro Capó,74,201044,album,2022-12-02
245,46,Flowers,Miley Cyrus,91,200600,album,2023-03-10
247,48,REMIX EXCLUSIVO,Feid,87,206946,single,2023-03-17
248,49,RÁPIDO,Mora,82,182857,single,2023-04-27
249,50,VISTA AL MAR,Quevedo,82,180672,album,2023-01-20
250,1,WHERE SHE GOES,Bad Bunny,88,231704,single,2023-05-18
251,2,Acróstico,Shakira,88,170785,single,2023-05-11
252,3,Supernova,Saiko,84,190909,single,2023-04-19
253,4,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
254,5,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
255,6,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
256,7,Mami Chula,Jhayco & Quevedo,86,220600,single,2023-04-28
257,8,Classy 101,Feid & Young Miko,96,195986,single,2023-03-31
258,9,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
259,10,Nochentera,Vicco,81,202184,single,2022-12-19
260,11,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,81,215600,single,2023-05-12
261,12,TQG,KAROL G,96,197933,album,2023-02-24
262,13,Yandel 150,Yandel,90,216148,album,2023-01-13
263,14,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
264,15,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
265,16,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
266,17,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
267,18,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
268,19,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
269,20,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,2023-03-17
270,21,Cupido,TINI,84,174369,album,2023-02-16
271,22,Ella Baila Sola,Eslabon Armado,90,165671,album,2023-04-28
272,23,WANDA,Quevedo,87,160909,album,2023-01-20
273,24,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
274,25,Arena y Sal,Omar Montes & Saiko & Tunvao,65,174415,single,2023-05-18
275,26,PUNTO G,Quevedo,86,151324,album,2023-01-20
276,27,Los Ángeles,Aitana,83,158483,single,2023-03-29
277,28,Mi Nena Remix,Maikel Delacalle & Quevedo,81,220000,single,2023-03-23
278,29,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
279,30,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,94,214945,single,2023-01-11
280,31,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
281,32,Hey Mor,Ozuna,91,196600,album,2022-10-07
282,33,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
283,34,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
284,35,Tattoo,Loreen,91,183374,single,2023-02-25
285,36,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
286,37,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
287,38,La Jumpa,Arcángel,87,255693,album,2022-12-01
288,39,MEMORIAS,Mora,82,228750,album,2022-04-01
289,40,Polaris,Saiko,78,192122,single,2022-08-26
290,41,Andando,Morad,72,261713,album,2023-05-12
291,42,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
292,43,DESPECHÁ,ROSALÍA,84,156787,album,2022-09-09
293,44,RÁPIDO,Mora,82,182857,single,2023-04-27
294,45,Flowers,Miley Cyrus,91,200600,album,2023-03-10
295,46,69,Nicky Jam & Feid,74,221935,single,2023-05-19
296,47,VISTA AL MAR,Quevedo,82,180672,album,2023-01-20
297,48,La Fiesta,Pedro Capó,74,201044,album,2022-12-02
299,50,REMIX EXCLUSIVO,Feid,87,206946,single,2023-03-17
300,1,WHERE SHE GOES,Bad Bunny,89,231704,single,2023-05-18
301,2,Acróstico,Shakira,88,170785,single,2023-05-11
302,3,Supernova,Saiko,84,190909,single,2023-04-19
303,4,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
304,5,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
305,6,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
306,7,Clavaito,Chanel & Abraham Mateo,80,162740,single,2023-04-27
307,8,Mami Chula,Jhayco & Quevedo,86,220600,single,2023-04-28
308,9,Classy 101,Feid & Young Miko,96,195986,single,2023-03-31
309,10,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,81,215600,single,2023-05-12
310,11,Nochentera,Vicco,81,202184,single,2022-12-19
311,12,Yandel 150,Yandel,90,216148,album,2023-01-13
312,13,Todo Contigo,Álvaro De Luna,79,165527,single,2023-03-17
313,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
314,15,TQG,KAROL G,96,197933,album,2023-02-24
315,16,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
316,17,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
317,18,Arena y Sal,Omar Montes & Saiko & Tunvao,67,174415,single,2023-05-18
318,19,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
319,20,Ella Baila Sola,Eslabon Armado,90,165671,album,2023-04-28
320,21,WANDA,Quevedo,87,160909,album,2023-01-20
321,22,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
322,23,Cupido,TINI,84,174369,album,2023-02-16
323,24,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,2023-03-17
324,25,PUNTO G,Quevedo,86,151324,album,2023-01-20
325,26,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
326,27,Los Ángeles,Aitana,83,158483,single,2023-03-29
327,28,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
328,29,Mi Nena Remix,Maikel Delacalle & Quevedo,81,220000,single,2023-03-23
329,30,69,Nicky Jam & Feid,76,221935,single,2023-05-19
330,31,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
331,32,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
332,33,Hey Mor,Ozuna,91,196600,album,2022-10-07
333,34,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
334,35,Tattoo,Loreen,91,183374,single,2023-02-25
335,36,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,94,214945,single,2023-01-11
336,37,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
337,38,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
338,39,Andando,Morad,72,261713,album,2023-05-12
339,40,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
340,41,La Jumpa,Arcángel,87,255693,album,2022-12-01
341,42,Polaris,Saiko,78,192122,single,2022-08-26
342,43,MEMORIAS,Mora,82,228750,album,2022-04-01
343,44,RÁPIDO,Mora,82,182857,single,2023-04-27
344,45,REMIX EXCLUSIVO,Feid,87,206946,single,2023-03-17
345,46,Flowers,Miley Cyrus,91,200600,album,2023-03-10
347,48,VISTA AL MAR,Quevedo,82,180672,album,2023-01-20
348,49,La Fiesta,Pedro Capó,74,201044,album,2022-12-02
349,50,DESPECHÁ,ROSALÍA,84,156787,album,2022-09-09
350,1,WHERE SHE GOES,Bad Bunny,91,231704,single,2023-05-18
351,2,Acróstico,Shakira,89,170785,single,2023-05-11
352,3,Supernova,Saiko,84,190909,single,2023-04-19
353,4,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
354,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
355,6,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
356,7,Clavaito,Chanel & Abraham Mateo,80,162740,single,2023-04-27
357,8,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,82,215600,single,2023-05-12
358,9,Mami Chula,Jhayco & Quevedo,86,220600,single,2023-04-28
359,10,Classy 101,Feid & Young Miko,96,195986,single,2023-03-31
360,11,Nochentera,Vicco,81,202184,single,2022-12-19
361,12,Yandel 150,Yandel,90,216148,album,2023-01-13
362,13,Todo Contigo,Álvaro De Luna,79,165527,single,2023-03-17
363,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
364,15,TQG,KAROL G,96,197933,album,2023-02-24
365,16,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
366,17,Arena y Sal,Omar Montes & Saiko & Tunvao,69,174415,single,2023-05-18
367,18,PLAYA DEL INGLÉS,Quevedo,83,237525,album,2023-01-20
368,19,Rara Vez,Taiu & Milo j,91,128677,single,2023-02-08
369,20,Ella Baila Sola,Eslabon Armado,90,165671,album,2023-04-28
370,21,La Bachata,Manuel Turizo,87,162637,album,2023-03-17
371,22,WANDA,Quevedo,87,160909,album,2023-01-20
372,23,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,2023-03-17
373,24,Cupido,TINI,84,174369,album,2023-02-16
374,25,69,Nicky Jam & Feid,77,221935,single,2023-05-19
375,26,PUNTO G,Quevedo,86,151324,album,2023-01-20
376,27,Los Ángeles,Aitana,83,158483,single,2023-03-29
377,28,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
378,29,Niña Bonita,Feid & Sean Paul,89,187653,single,2023-04-21
379,30,Mi Nena Remix,Maikel Delacalle & Quevedo,81,220000,single,2023-03-23
380,31,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
381,32,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
382,33,Hey Mor,Ozuna,91,196600,album,2022-10-07
383,34,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
384,35,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
385,36,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,94,214945,single,2023-01-11
386,37,Tattoo,Loreen,92,183374,single,2023-02-25
387,38,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
388,39,Andando,Morad,73,261713,album,2023-05-12
389,40,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
390,41,La Jumpa,Arcángel,87,255693,album,2022-12-01
391,42,Polaris,Saiko,77,192122,single,2022-08-26
392,43,MEMORIAS,Mora,82,228750,album,2022-04-01
393,44,REMIX EXCLUSIVO,Feid,87,206946,single,2023-03-17
394,45,Flowers,Miley Cyrus,91,200600,album,2023-03-10
395,46,VISTA AL MAR,Quevedo,82,180672,album,2023-01-20
397,48,No Estuviste En Lo Malo,Morad,72,247680,album,2023-05-12
398,49,La Fiesta,Pedro Capó,74,201044,album,2022-12-02
399,50,Amanece,Anuel AA & Haze,84,190004,single,2018-12-14
400,1,WHERE SHE GOES,Bad Bunny,92,231704,single,2023-05-18
401,2,Acróstico,Shakira,89,170785,single,2023-05-11
402,3,Supernova,Saiko,84,190909,single,2023-04-19
