,position,song,artist,popularity,duration_ms,album_type,release_date
7441,42,FERXXO 151,Feid,58,195386,album,2023-09-29
7442,43,Classy 101,Feid & Young Miko,93,195986,single,2023-03-31
7443,44,CORAZÓN VACÍO,Maria Becerra,87,160535,single,2023-06-22
7444,45,No soy Eterno,Bizarrap & Milo j,80,151468,single,2023-10-04
7445,46,EL TONTO,Lola Indigo,78,187986,album,2023-04-13
7446,47,Chulo pt.2,Bad Gyal & Tokischa & Young Miko,91,219333,single,2023-06-22
7447,48,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,83,191254,single,2023-06-21
7448,49,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
7449,50,FERXXO 30,Feid,76,173760,album,2023-09-29
7459,10,Si No Estás,iñigo quintero,93,184061,single,2022-09-23
7465,16,El Mambo,Kiko Rivera,75,129845,single,2023-07-13
7470,21,Lollipop,Darell,81,199946,album,2023-07-28
7473,24,Buenas,Quevedo & Saiko,86,192954,single,2023-09-22
7475,26,Columbia,Quevedo,96,186000,single,2023-07-07
7476,27,"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap & Milo j,85,189901,single,2023-10-03
7477,28,REINA,Mora,89,211879,album,2023-08-28
7478,29,MODELITO,Mora,83,190496,album,2022-11-03
7479,30,LALA,Myke Towers,97,197920,album,2023-03-23
7480,31,Quien Es Dei V?,Dei V,80,162244,single,2023-03-17
7481,32,POLARIS - Remix,Saiko & Feid & Quevedo,86,288000,single,2023-06-08
7482,33,Holanda,Jhayco,93,231693,single,2023-07-28
7483,34,Fruto,Bizarrap & Milo j,84,132294,single,2023-10-04
7484,35,COSAS QUE NO TE DIJE,Saiko,80,224725,single,2021-09-17
7485,36,QLONA,KAROL G,94,172797,album,2023-08-10
7486,37,BABY HELLO,Rauw Alejandro,79,222461,album,2023-07-07
7487,38,El Merengue,Marshmello & Manuel Turizo,89,189668,single,2023-03-03
7488,39,Antidepresivos,Saiko,79,145384,single,2023-08-03
7489,40,No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,73,268320,single,2023-10-04
